image_uid,file_name,uncertainty_score,confidence_component,quality_component,agreement_component,novelty_component,terms_corroborated,terms_checked,has_description,has_quality,review_recommended,reason,vocabulary_version
2c01621f943e4ffc9cd3878872b28ef0,Port Lockroy 24th April 2020 JNH (29) (Large).jpg,0.5418,0.5538,0.5547,0.5,0.5801,2,4,True,True,False,Chiefly because the image differs markedly from those used to establish the terms.,1.0
48c8e65a85c041f48db9a9260f8f7fd1,Port Lockroy 24th April 2020 JNH (3) (Large).jpg,0.3438,0.2804,0.033,0.6667,0.2603,1,3,True,True,False,The assigned terms are well supported across all measures.,1.0
e62bf61e69224413997efe395a3f8ca3,Port Lockroy 24th April 2020 JNH (30) (Large).jpg,0.5586,0.4562,0.5009,0.75,0.492,1,4,True,True,True,Chiefly because the generated description does not corroborate the assigned terms.,1.0
38eebcb1b63349dd93b7976f7587d1f7,Port Lockroy 24th April 2020 JNH (31) (Large).jpg,0.3423,0.3821,0.6032,0.0,0.5859,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
bc7bdf1f70704816ab5e4adcd8e8351e,Port Lockroy 24th April 2020 JNH (32) (Large).jpg,0.5345,0.6139,0.4044,0.5,0.5918,2,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
efa7d2c553b643978ebfbdb1d04e4b06,Port Lockroy 24th April 2020 JNH (33) (Large).jpg,0.482,0.304,0.0417,1.0,0.4486,0,3,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
881eb4ef30ea4e91865e9ee079f8d3e8,Port Lockroy 24th April 2020 JNH (34) (Large).jpg,0.3124,0.2688,0.0915,0.6667,0.0,1,3,True,True,False,The assigned terms are well supported across all measures.,1.0
1f4dd4388778447fa6f3ac2d843e1516,Port Lockroy 24th April 2020 JNH (36) (Large).jpg,0.3549,0.1907,0.1909,0.6667,0.3332,1,3,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
94890ba5ca9d41d3b0c353d0fe4b31cf,Port Lockroy 24th April 2020 JNH (37) (Large).jpg,0.4288,0.4716,0.3511,0.5,0.2904,2,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
dde38f0ae5c949fe995c64d63b3437a1,Port Lockroy 24th April 2020 JNH (39) (Large).jpg,0.5683,0.5627,0.4413,0.75,0.3875,1,4,True,True,True,Chiefly because the generated description does not corroborate the assigned terms.,1.0
b0eb77e43cdb4ccc96dd9c136f47e1b8,Port Lockroy 24th April 2020 JNH (4) (Large).jpg,0.493,0.629,0.0058,0.75,0.3111,1,4,True,True,False,"Chiefly because the generated description does not corroborate the assigned terms, and the matching scores separated the leading terms only narrowly.",1.0
b2115b82ec784180889a256fe0e655db,Port Lockroy 24th April 2020 JNH (40) (Large).jpg,0.411,0.4058,0.3091,0.5,0.3813,2,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
80b5fdcfd2c044a2a12c91485107c6e1,Port Lockroy 24th April 2020 JNH (41) (Large).jpg,0.3178,0.2573,0.4406,0.25,0.4306,3,4,True,True,False,The assigned terms are well supported across all measures.,1.0
b55e292179bf4ff0ad3b1cc9021ca729,Port Lockroy 24th April 2020 JNH (42) (Large).jpg,0.3508,0.3848,0.334,0.25,0.4957,3,4,True,True,False,Chiefly because the image differs markedly from those used to establish the terms.,1.0
f4736b6aa30e4b4e81c6137186d4596e,Port Lockroy 24th April 2020 JNH (43) (Large).jpg,0.5875,0.6527,0.4363,0.75,0.3118,1,4,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the matching scores separated the leading terms only narrowly.",1.0
3a5acbaeb0264619a6cffa1bce0b2d37,Port Lockroy 24th April 2020 JNH (44) (Large).jpg,0.3645,0.2655,0.6383,0.25,0.4593,3,4,True,True,False,"Chiefly because the image is soft or poorly exposed, limiting what can be assigned.",1.0
3d18012b723142568224118ef2e0625b,Port Lockroy 24th April 2020 JNH (47) (Large).jpg,0.4326,0.5362,0.5235,0.25,0.4348,3,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
56f3fa183ede44e9a4228ef7955207cf,Port Lockroy 24th April 2020 JNH (48) (Large).jpg,0.5065,0.2747,0.6125,0.6667,0.5856,1,3,True,True,False,"Chiefly because the generated description does not corroborate the assigned terms, and the image is soft or poorly exposed, limiting what can be assigned.",1.0
808f0c59ee3347f0a24874879a790356,Port Lockroy 24th April 2020 JNH (49) (Large).jpg,0.5017,0.8238,0.4121,0.25,0.3727,3,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
85690c9cf2214b019b2f23afa12b9bec,Port Lockroy 24th April 2020 JNH (5) (Large).jpg,0.2834,0.3788,0.381,0.0,0.4977,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
405a793161e8459187b39ca81e765a6a,Port Lockroy 24th April 2020 JNH (51) (Large).jpg,0.4331,0.3628,0.4813,0.4,0.599,3,5,True,True,False,Chiefly because the image differs markedly from those used to establish the terms.,1.0
beedd7812af9411eb791942690720fa6,Port Lockroy 24th April 2020 JNH (52) (Large).jpg,0.2998,0.6683,0.1475,0.0,0.2425,3,3,True,True,False,The assigned terms are well supported across all measures.,1.0
678f1a8cbe544efca4c8e2319b592008,Port Lockroy 24th April 2020 JNH (53) (Large).jpg,0.5779,0.7678,0.6043,0.5,0.2555,2,4,True,True,True,"Chiefly because the matching scores separated the leading terms only narrowly, and the image is soft or poorly exposed, limiting what can be assigned.",1.0
afa0c05ed49a41b3a8834957eada108d,Port Lockroy 24th April 2020 JNH (54) (Large).jpg,0.5449,0.7765,0.6525,0.25,0.451,3,4,True,True,False,"Chiefly because the matching scores separated the leading terms only narrowly, and the image is soft or poorly exposed, limiting what can be assigned.",1.0
9d21448f3aef4f48b07e1897453c07fc,Port Lockroy 24th April 2020 JNH (55) (Large).jpg,0.3381,0.561,0.0364,0.3333,0.23,2,3,True,True,False,The assigned terms are well supported across all measures.,1.0
6d35ad96d5ae4f21b56973f9320d772d,Port Lockroy 24th April 2020 JNH (56) (Large).jpg,0.5677,0.8354,0.3701,0.5,0.3422,2,4,True,True,True,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
ddc897edaea443898138a661785a1536,Port Lockroy 24th April 2020 JNH (6) (Large).jpg,0.2942,0.3256,0.1529,0.25,0.4979,3,4,True,True,False,The assigned terms are well supported across all measures.,1.0
991cd5dbc6ee422b863c2136f1ddd5fd,Port Lockroy 24th April 2020 JNH (7) (Large).jpg,0.4121,0.6031,0.3211,0.25,0.4119,3,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
cb19e8cbd229498487543673fad443d3,Port Lockroy 24th April 2020 JNH (8) (Large).jpg,0.3139,0.1515,0.5265,0.3333,0.3707,2,3,True,True,False,The assigned terms are well supported across all measures.,1.0
af508c9cc07443d5bbc870f4afd5eeba,Port Lockroy 24th April 2020 JNH (9) (Large).jpg,0.2908,0.348,0.4945,0.0,0.4676,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
c7b0bc84d0e34425a9ed9512a885811e,A_1_h_16(1).jpg,0.7978,0.6735,0.656,1.0,0.8727,0,2,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the image differs markedly from those used to establish the terms.",1.0
13a723cdd6cd4bc281123b3d8de20fd5,A_1_h_16(10).JPG,0.5467,0.6527,0.4355,0.3333,0.8743,2,3,True,True,False,"Chiefly because the image differs markedly from those used to establish the terms, and the matching scores separated the leading terms only narrowly.",1.0
189427807d90476bbe24f8ab05210a10,A_1_h_16(11).JPG,0.3474,0.2904,0.5658,0.3333,0.2173,2,3,True,True,False,The assigned terms are well supported across all measures.,1.0
65f6365dd64e402398b1249cc32e4948,A_1_h_16(12).JPG,0.2309,0.3628,0.5195,0.0,0.0,2,2,True,True,False,The assigned terms are well supported across all measures.,1.0
99d57bccca8c4c52b39bf1f666c1f6ce,A_1_h_16(13).JPG,0.2389,0.3175,0.5069,0.0,0.1763,2,2,True,True,False,The assigned terms are well supported across all measures.,1.0
e47221720ee3451da44437a1cd04bc72,A_1_h_16(14).JPG,0.3653,0.3149,0.5419,0.3333,0.3114,2,3,True,True,False,"Chiefly because the image is soft or poorly exposed, limiting what can be assigned.",1.0
4a6798f66f344ccd95d8f07cc1fd7410,A_1_h_16(2).jpg,0.5619,0.7351,0.5909,0.5,0.2428,1,2,True,True,True,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
aeb3bfdae6b6487b8673707c22a1870b,A_1_h_16(3).jpg,0.4537,0.3845,0.5958,0.6667,0.0,1,3,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
727336bb2bd74d7789d0a3e0f5dfefd7,A_1_h_16(4).jpg,0.2658,0.2773,0.5896,0.0,0.339,2,2,True,True,False,The assigned terms are well supported across all measures.,1.0
d1ef91fc3b1840bf8bc3ce2d1ef00d0e,A_1_h_16(5).JPG,0.5268,0.6097,0.565,0.5,0.336,2,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
428f03f038954de2b1722f35f5eab66d,A_1_h_16(6).JPG,0.5358,0.7889,0.5731,0.0,0.967,2,2,True,True,False,"Chiefly because the image differs markedly from those used to establish the terms, and the matching scores separated the leading terms only narrowly.",1.0
aa45bbbdd70e4dcca5c30d6e19519237,A_1_h_16(7).JPG,0.623,0.8672,0.5773,0.5,0.3604,2,4,True,True,True,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
4aad44f201c04a258ceb6699213accff,A_1_h_16(8).JPG,0.6862,0.8522,0.574,0.75,0.321,1,4,True,True,True,"Chiefly because the matching scores separated the leading terms only narrowly, and the generated description does not corroborate the assigned terms.",1.0
84ce231b832945c293521d1111a56538,A_1_h_16(9).JPG,0.7517,0.6812,0.5669,1.0,0.6661,0,2,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the matching scores separated the leading terms only narrowly.",1.0
7b4edbfd51774410a87807a711e6038f,HY9A2343.jpg,0.7978,0.6735,0.656,1.0,0.8727,0,2,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the image differs markedly from those used to establish the terms.",1.0
2cc36dd2d9b44c29b8f1b2507b265ea8,HY9A2344.jpg,0.5619,0.7351,0.5909,0.5,0.2428,1,2,True,True,True,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
9e365b5561094c538514aa4313b28142,HY9A2345.jpg,0.4537,0.3845,0.5958,0.6667,0.0,1,3,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
5d864d478bcd42feaaa7437a3b98db8e,HY9A2346.jpg,0.2658,0.2773,0.5896,0.0,0.339,2,2,True,True,False,The assigned terms are well supported across all measures.,1.0
63c65070acba4abfbdd67cbc180f54ec,P1010138.JPG,0.5268,0.6097,0.565,0.5,0.336,2,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
42e30a08440c4804961d01acbdeb858f,P1010139.JPG,0.5358,0.7889,0.5731,0.0,0.967,2,2,True,True,False,"Chiefly because the image differs markedly from those used to establish the terms, and the matching scores separated the leading terms only narrowly.",1.0
f9f26b012f7742918e312a2aed2c3bb3,P1010140.JPG,0.623,0.8672,0.5773,0.5,0.3604,2,4,True,True,True,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
1c95a15212c94900a78166e9e0439c54,P1010141.JPG,0.6862,0.8522,0.574,0.75,0.321,1,4,True,True,True,"Chiefly because the matching scores separated the leading terms only narrowly, and the generated description does not corroborate the assigned terms.",1.0
149ff7e2c94b4ed9bcdb87bf4c8f7be5,P1010143.JPG,0.7517,0.6812,0.5669,1.0,0.6661,0,2,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the matching scores separated the leading terms only narrowly.",1.0
f239dae325ea40878af383cbcab6c7f8,PC130169.JPG,0.5467,0.6527,0.4355,0.3333,0.8743,2,3,True,True,False,"Chiefly because the image differs markedly from those used to establish the terms, and the matching scores separated the leading terms only narrowly.",1.0
dd508f4b9715421baea60e8634f4165c,PC130170.JPG,0.3474,0.2904,0.5658,0.3333,0.2173,2,3,True,True,False,The assigned terms are well supported across all measures.,1.0
dfbc7890c436428280d5c4754ba341c1,PC130171.JPG,0.2309,0.3628,0.5195,0.0,0.0,2,2,True,True,False,The assigned terms are well supported across all measures.,1.0
382f3241aa4f47ac81ee343caed08840,PC130172.JPG,0.2389,0.3175,0.5069,0.0,0.1763,2,2,True,True,False,The assigned terms are well supported across all measures.,1.0
5d6e7a72ca3a43dabdb197f9a2e7ea48,PC130173.JPG,0.3653,0.3149,0.5419,0.3333,0.3114,2,3,True,True,False,"Chiefly because the image is soft or poorly exposed, limiting what can be assigned.",1.0
86084f56ee8f4ae492565d5cf7d6fb7a,A1a60a.JPG,0.5065,0.3942,0.5885,0.6667,0.3385,1,3,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
ac89fb8c6389431e9c904866b556286b,A1a60b.JPG,0.5379,0.4026,0.5673,0.75,0.3901,1,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
ef9337a70ce846d786fadcdb9fadc750,A1a60c.JPG,0.5577,0.446,0.578,0.75,0.4068,1,4,True,True,True,Chiefly because the generated description does not corroborate the assigned terms.,1.0
58d4e267566b42fda24081b5c6967eb1,A1a60d.JPG,0.5891,0.5757,0.4833,0.75,0.4396,1,4,True,True,True,Chiefly because the generated description does not corroborate the assigned terms.,1.0
8ae240ea8a4e40f7a95ff200149acc5c,A1a61a.JPG,0.5358,0.1805,0.6006,1.0,0.3498,0,3,True,True,False,"Chiefly because the generated description does not corroborate the assigned terms, and the image is soft or poorly exposed, limiting what can be assigned.",1.0
68bac55734da4c359741d93f6b5b0b09,A1a61b.JPG,0.4461,0.21,0.5791,0.6667,0.3782,1,3,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
19669de726d7483496d47a333e0cb520,A1a61c.JPG,0.297,0.3999,0.5574,0.0,0.3039,3,3,True,True,False,The assigned terms are well supported across all measures.,1.0
cf4c5e65419b49e6b7dd1a3e35c1ffe8,A1a61d.JPG,0.3354,0.5431,0.5212,0.0,0.2739,3,3,True,True,False,The assigned terms are well supported across all measures.,1.0
291a88a0a5994352ac28e7ecf21723ae,A1h164a.JPG,0.5424,0.5082,0.4564,0.75,0.3219,1,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
8207c89bbf764f57a2e0045eb9247b2a,A1h164b.JPG,0.5206,0.5802,0.5586,0.5,0.3718,2,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
64fc1fbf1b6840948863fee2a4215a53,A1h164c.JPG,0.3919,0.6733,0.5056,0.0,0.3678,4,4,True,True,False,Chiefly because the matching scores separated the leading terms only narrowly.,1.0
1c9bdc84bf3149c386f297071cd08531,A1h164d.JPG,0.5853,0.6316,0.3911,0.75,0.4071,1,4,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the matching scores separated the leading terms only narrowly.",1.0
f63b4c9e8821430180b986feb3c5ee3a,A1h165.JPG,0.674,0.6367,0.4188,1.0,0.4493,0,3,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the matching scores separated the leading terms only narrowly.",1.0
94a534e0540a4a4b8a84ac4128cf250b,A1h165a.JPG,0.5154,0.3743,0.5559,0.75,0.3217,1,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
ee8910a650cf4d9c9b27eaa80263f098,A1h165b.JPG,0.6626,0.5551,0.4773,1.0,0.486,0,3,True,True,True,Chiefly because the generated description does not corroborate the assigned terms.,1.0
d292cc40b4134b45a6d869fe5805a330,A1h165c.JPG,0.2896,0.3414,0.4875,0.0,0.4844,2,2,True,True,False,The assigned terms are well supported across all measures.,1.0
9a54d451d6e94eafa23c6cf634c83861,A1h166.JPG,0.3086,0.3285,0.5654,0.0,0.5368,2,2,True,True,False,The assigned terms are well supported across all measures.,1.0
41757429df7b42999622c65a60fb271c,A1h167.JPG,0.2906,0.3972,0.0081,0.5,0.0,2,4,True,True,False,The assigned terms are well supported across all measures.,1.0
15132c6aaa024b04aea110881230f08f,A1h167a.JPG,0.4749,0.2993,0.497,0.75,0.305,1,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
db4e93713afe4aac84149c0b0073d9a0,DSC03189.JPG,0.5948,0.6242,0.4937,0.75,0.3505,1,4,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the matching scores separated the leading terms only narrowly.",1.0
eceb12b52c954e37ac759ae3500ed9e2,DSC03193.JPG,0.6616,0.5775,0.4854,1.0,0.4162,0,3,True,True,True,Chiefly because the generated description does not corroborate the assigned terms.,1.0
aecdd1b983e3488cbf33cebea1d0e98d,DSC03194.JPG,0.5731,0.5959,0.4904,0.6667,0.4431,1,3,True,True,True,Chiefly because the generated description does not corroborate the assigned terms.,1.0
a4bf7e2323714298832aa0cdf983068d,DSC03198.JPG,0.3931,0.4169,0.5331,0.25,0.437,3,4,True,True,False,"Chiefly because the image is soft or poorly exposed, limiting what can be assigned.",1.0
345cc00f9fba4c5ea58beafc1aa49aa4,DSC03199.JPG,0.4278,0.2502,0.6366,0.5,0.4194,2,4,True,True,False,"Chiefly because the image is soft or poorly exposed, limiting what can be assigned.",1.0
3a0bdc4383454b839a4ac86a737d02e5,DSC03200.JPG,0.321,0.229,0.5379,0.25,0.3885,3,4,True,True,False,The assigned terms are well supported across all measures.,1.0
a867eba7b48d435bb4ef161f092f87f0,DSC03204.JPG,0.3842,0.4395,0.3344,0.5,0.09,2,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
3e0d326e044749b18fc05233b2f267b5,DSC03205.JPG,0.4058,0.369,0.1067,0.75,0.2024,1,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
96623c378f6340b9a42e17b4bdebab20,DSC03206.JPG,0.3706,0.2681,0.0906,0.75,0.2245,1,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
aad0867285844bf8963d914ff4f55279,DSC03217.JPG,0.2638,0.2933,0.5809,0.0,0.2998,3,3,True,True,False,The assigned terms are well supported across all measures.,1.0
48a25a6b741e4b408dcdd9f43b835b6b,DSC03221.JPG,0.5375,0.3346,0.5832,1.0,0.0248,0,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
95e5d11bca2d49cd8f5ba041c5e1a6a9,DSC03222.JPG,0.3542,0.2258,0.4351,0.5,0.2544,2,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
d85a03434d744493bdb932f93c028699,DSC03227.JPG,0.1995,0.2434,0.5717,0.0,0.0,3,3,True,True,False,The assigned terms are well supported across all measures.,1.0
33ec276be664464db414740d4d703ffc,F2011-1a.JPG,0.5427,0.3724,0.5619,1.0,0.0,0,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
61cf52f21fe34015b8ed30887736aa43,F2011-1b.JPG,0.4943,0.0151,0.5439,1.0,0.5348,0,3,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
ead3133bed854912b46704dc944e0314,F2011-2a.JPG,0.3682,0.1105,0.5076,0.6667,0.1866,1,3,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
7b75ecdb7def4f3e8faa1da62667c4c5,F2011-2b.JPG,0.271,0.266,0.3205,0.25,0.2589,3,4,True,True,False,The assigned terms are well supported across all measures.,1.0
6a0556b030844e5e986e6c14b0c5dbf1,F2011-2c.JPG,0.4092,0.1844,0.5403,0.6667,0.244,1,3,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
6a410cf9ffff41299c6798bfa2c07cfe,(2).jpg,0.2908,0.4311,0.3963,0.0,0.4041,4,4,True,True,False,The assigned terms are well supported across all measures.,1.0
6b12968624ab413cbdca5e1849f606b7,(3).jpg,0.5657,0.4537,0.5985,0.6667,0.5814,1,3,True,True,True,Chiefly because the generated description does not corroborate the assigned terms.,1.0
326928728840465b8d3853fe14b426ca,A1a10a.jpg,0.5665,0.6106,0.305,0.75,0.4455,1,4,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the matching scores separated the leading terms only narrowly.",1.0
60f3037e6e8e426eb773f8b8050f1e4e,A1a10b.jpg,0.7686,0.6924,0.7916,1.0,0.4529,0,4,True,True,True,"Chiefly because the generated description does not corroborate the assigned terms, and the image is soft or poorly exposed, limiting what can be assigned.",1.0
3a92f526b9d44eb5bc84e3fe9cf2f235,A1a12.jpg,0.5373,0.5856,0.7542,0.4,0.4102,3,5,True,True,False,"Chiefly because the image is soft or poorly exposed, limiting what can be assigned.",1.0
b02c5da17f5d4939a7d7442ffb603e68,A1b10a.jpg,0.4997,0.4453,0.3357,0.75,0.3447,1,4,True,True,False,Chiefly because the generated description does not corroborate the assigned terms.,1.0
